modo,hilos,tiempo_seg,primos,limite
secuencial,1,43.7239,11078937,200000000
omp_static,1,34.9017,11078937,200000000
omp_static_chunk,1,34.1779,11078937,200000000
omp_dynamic,1,34.0663,11078937,200000000
omp_guided,1,34.0761,11078937,200000000
omp_static,2,21.6942,11078937,200000000
omp_static_chunk,2,17.6909,11078937,200000000
omp_dynamic,2,17.8136,11078937,200000000
omp_guided,2,17.5909,11078937,200000000
omp_static,4,12.5281,11078937,200000000
omp_static_chunk,4,9.49441,11078937,200000000
omp_dynamic,4,9.50205,11078937,200000000
omp_guided,4,9.50984,11078937,200000000
omp_static,8,7.37515,11078937,200000000
omp_static_chunk,8,6.14494,11078937,200000000
omp_dynamic,8,6.08007,11078937,200000000
omp_guided,8,6.09091,11078937,200000000
